Countyname,R0,E0,I0,PCR_pos_samplingbias,PCR_pos_sample_clustering,PCR_pos_reporting_clustering,PCR_pos_reporting_rate,EffPopSize,IFR,PosteriorpredicitveP
Baringo,"1.78 (1.68, 1.9)","0.502 (0.0136, 1.83)","0.488 (0.0115, 1.84)","1.27 (0.354, 3.39)","19.6 (8.14, 37.7)","0.502 (0.114, 1.2)","5.34e-5 (1.25e-6, 0.000205)","0.443 (0.128, 0.931)","0.00272% (0.000902%, 0.00738%)",0.73
Bomet,"1.81 (1.73, 1.89)","0.595 (0.0178, 1.97)","0.628 (0.0215, 2.08)","2.07 (0.982, 4.39)","19.9 (9.48, 36.4)","1.1 (0.386, 2.12)","4.84e-5 (1.62e-5, 0.000112)","0.618 (0.28, 0.967)","0.00351% (0.00192%, 0.0071%)",0.503
Bungoma,"1.83 (1.74, 1.92)","0.607 (0.0174, 2.05)","0.632 (0.0208, 2.08)","1.66 (0.45, 4.05)","19.6 (10.2, 33.9)","0.616 (0.141, 1.43)","2.62e-5 (6.37e-6, 6.91e-5)","0.34 (0.112, 0.816)","0.000489% (0.000146%, 0.00119%)",0.704
Busia,"1.89 (1.83, 1.96)","1.08 (0.0356, 3.31)","1.49 (0.103, 3.63)","0.887 (0.411, 1.98)","18.8 (11.4, 28.5)","1.21 (0.798, 1.75)","0.000337 (0.000168, 0.000607)","0.662 (0.321, 0.977)","0.00111% (0.00066%, 0.00216%)",0.694
Elgeyo Marakwet,"1.74 (1.63, 1.84)","0.539 (0.0156, 1.97)","0.527 (0.0117, 1.93)","1.53 (0.408, 3.97)","21.1 (8.04, 41.6)","0.502 (0.0984, 1.21)","1.89e-5 (1.27e-6, 6.92e-5)","0.391 (0.121, 0.903)","0.00365% (0.00109%, 0.00943%)",0.827
Embu,"1.78 (1.7, 1.87)","0.549 (0.0147, 1.94)","0.557 (0.0193, 1.89)","1.88 (0.825, 4.24)","11.8 (5.6, 21.9)","0.495 (0.0953, 1.21)","3.07e-5 (6.19e-6, 8.62e-5)","0.593 (0.25, 0.965)","0.00251% (0.00128%, 0.00543%)",0.662
Garissa,"1.78 (1.72, 1.84)","0.776 (0.0306, 2.4)","0.848 (0.0403, 2.51)","2.29 (1.32, 4.32)","13.0 (7.73, 20.0)","0.79 (0.267, 1.54)","0.000156 (7.73e-5, 0.000289)","0.709 (0.38, 0.985)","0.00347% (0.00227%, 0.00621%)",0.442
HomaBay,"1.8 (1.71, 1.89)","0.566 (0.0146, 2.0)","0.59 (0.0163, 2.07)","1.42 (0.461, 3.51)","14.4 (6.38, 27.1)","0.495 (0.107, 1.17)","2.98e-5 (6.37e-6, 8.22e-5)","0.481 (0.165, 0.941)","0.000493% (0.000189%, 0.00122%)",0.706
Isiolo,"1.7 (1.61, 1.8)","5.39 (0.193, 18.8)","5.27 (0.192, 17.9)","1.95 (0.864, 4.14)","11.2 (4.95, 21.7)","0.444 (0.15, 0.892)","3.9e-5 (1.16e-5, 9.66e-5)","0.655 (0.31, 0.977)","0.0054% (0.00304%, 0.0108%)",0.669
Kajiado,"1.76 (1.73, 1.8)","9.41 (0.315, 27.1)","11.5 (0.739, 27.3)","2.66 (1.74, 4.43)","23.8 (16.0, 33.7)","0.695 (0.445, 1.01)","0.000258 (0.00016, 0.000415)","0.769 (0.478, 0.987)","0.00644% (0.00473%, 0.0101%)",0.515
Kakamega,"1.85 (1.76, 1.94)","0.608 (0.019, 2.06)","0.67 (0.0254, 2.22)","1.69 (0.472, 4.09)","25.5 (13.9, 42.9)","0.53 (0.121, 1.23)","2.6e-5 (7.12e-6, 6.67e-5)","0.347 (0.118, 0.819)","0.000783% (0.000242%, 0.00185%)",0.775
Kericho,"1.79 (1.72, 1.87)","0.619 (0.0195, 2.07)","0.656 (0.0255, 2.12)","2.03 (1.02, 4.18)","13.1 (7.76, 20.5)","1.04 (0.358, 1.99)","6.64e-5 (2.65e-5, 0.000141)","0.639 (0.305, 0.974)","0.00204% (0.00115%, 0.00404%)",0.774
Kiambu,"1.8 (1.77, 1.83)","11.0 (0.325, 33.8)","16.2 (1.35, 36.1)","2.58 (1.61, 4.58)","37.8 (25.8, 53.1)","0.548 (0.331, 0.827)","0.000143 (8.85e-5, 0.000234)","0.718 (0.412, 0.98)","0.011% (0.00758%, 0.0184%)",0.502
Kilifi,"1.82 (1.75, 1.9)","8.66 (0.364, 25.1)","9.81 (0.579, 25.8)","0.921 (0.488, 1.76)","14.9 (8.57, 23.4)","0.414 (0.129, 0.862)","0.000103 (2.86e-6, 0.000383)","0.636 (0.344, 0.95)","0.000606% (0.000364%, 0.00108%)",0.665
Kirinyaga,"1.84 (1.75, 1.95)","0.492 (0.0131, 1.8)","0.49 (0.0118, 1.83)","1.58 (0.514, 3.83)","13.8 (5.25, 28.5)","0.501 (0.103, 1.18)","1.13e-5 (1.37e-6, 3.83e-5)","0.493 (0.177, 0.944)","0.00136% (0.00056%, 0.00321%)",0.707
Kisii,"1.79 (1.72, 1.87)","0.647 (0.0229, 2.18)","0.68 (0.0269, 2.2)","1.77 (0.824, 3.73)","18.8 (11.3, 29.3)","1.01 (0.362, 1.9)","8.63e-5 (3.43e-5, 0.000185)","0.595 (0.265, 0.961)","0.00157% (0.000821%, 0.00324%)",0.686
Kisumu,"1.67 (1.63, 1.72)","11.0 (0.394, 33.5)","14.9 (0.951, 37.7)","1.38 (0.711, 2.98)","32.9 (20.7, 49.0)","1.06 (0.61, 1.65)","4.56e-5 (2.22e-5, 9.01e-5)","0.678 (0.325, 0.982)","0.00197% (0.00117%, 0.0039%)",0.674
Kitui,"1.81 (1.74, 1.88)","0.679 (0.0247, 2.25)","0.729 (0.0336, 2.25)","1.87 (0.825, 4.04)","12.1 (6.43, 20.5)","0.86 (0.277, 1.7)","7.17e-5 (2.71e-5, 0.000159)","0.564 (0.247, 0.949)","0.00244% (0.00122%, 0.00504%)",0.631
Kwale,"2.26 (2.15, 2.39)","0.615 (0.0215, 2.02)","0.637 (0.0274, 1.92)","2.31 (1.18, 4.1)","11.7 (6.1, 20.3)","0.491 (0.0964, 1.2)","0.0001 (2.7e-6, 0.000371)","0.306 (0.169, 0.498)","0.000696% (0.000382%, 0.00119%)",0.663
Laikipia,"1.81 (1.74, 1.89)","0.509 (0.0154, 1.79)","0.506 (0.0155, 1.73)","1.5 (0.647, 3.36)","25.1 (13.5, 41.9)","0.521 (0.103, 1.23)","5.78e-5 (1.68e-5, 0.000139)","0.573 (0.236, 0.968)","0.00696% (0.00348%, 0.0148%)",0.681
Lamu,"1.8 (1.72, 1.9)","0.51 (0.0144, 1.77)","0.493 (0.0163, 1.69)","1.66 (0.783, 3.6)","12.8 (6.41, 22.8)","0.492 (0.101, 1.19)","0.0001 (2.49e-6, 0.000363)","0.628 (0.276, 0.971)","0.0134% (0.00748%, 0.0278%)",0.698
Machakos,"1.83 (1.8, 1.87)","8.48 (0.262, 25.3)","9.55 (0.693, 23.5)","1.61 (1.05, 2.89)","33.6 (21.6, 50.1)","0.727 (0.44, 1.09)","8.44e-5 (5.23e-5, 0.000142)","0.777 (0.456, 0.989)","0.0033% (0.00244%, 0.00546%)",0.538
Makueni,"1.93 (1.84, 2.02)","0.506 (0.0169, 1.78)","0.481 (0.0185, 1.66)","1.23 (0.558, 2.86)","17.3 (9.86, 28.2)","1.01 (0.48, 1.77)","7.63e-5 (3.23e-5, 0.000169)","0.614 (0.25, 0.972)","0.00195% (0.00104%, 0.00427%)",0.696
Mandera,"1.85 (1.75, 1.98)","0.655 (0.0195, 2.19)","0.699 (0.0273, 2.29)","2.42 (1.05, 4.8)","10.1 (2.36, 25.9)","0.819 (0.226, 1.7)","5.92e-5 (1.1e-5, 0.000147)","0.682 (0.317, 0.983)","0.00133% (0.000743%, 0.00262%)",0.772
Marsabit,"1.82 (1.72, 1.92)","0.57 (0.0167, 2.01)","0.578 (0.0162, 1.97)","1.98 (0.856, 4.21)","18.4 (6.66, 38.1)","0.491 (0.102, 1.19)","2.52e-5 (5.77e-6, 6.68e-5)","0.622 (0.272, 0.972)","0.00102% (0.000533%, 0.00217%)",0.675
Meru,"1.8 (1.73, 1.88)","0.737 (0.0269, 2.42)","0.807 (0.0326, 2.46)","1.72 (0.706, 3.8)","18.4 (9.37, 32.7)","2.16 (1.28, 3.3)","0.000127 (5.37e-5, 0.000261)","0.543 (0.231, 0.954)","0.00167% (0.00078%, 0.00357%)",0.711
Migori,"1.9 (1.84, 1.97)","0.826 (0.032, 2.62)","0.965 (0.0578, 2.63)","1.52 (0.608, 3.37)","26.7 (13.7, 44.8)","1.11 (0.651, 1.7)","0.000158 (7.2e-5, 0.000314)","0.527 (0.227, 0.94)","0.00177% (0.000827%, 0.00363%)",0.555
Mombasa,"1.94 (1.89, 1.98)","44.3 (1.7, 107.0)","33.8 (1.72, 75.9)","1.53 (1.17, 2.04)","32.7 (24.5, 42.3)","0.495 (0.0966, 1.19)","0.000696 (0.000337, 0.00118)","0.719 (0.563, 0.865)","0.0221% (0.018%, 0.0282%)",0.55
Muranga,"1.85 (1.78, 1.92)","0.635 (0.0185, 2.04)","0.657 (0.0267, 2.04)","1.75 (0.697, 3.92)","18.2 (9.41, 31.9)","0.609 (0.159, 1.32)","5.5e-5 (2.1e-5, 0.000122)","0.516 (0.208, 0.936)","0.00303% (0.00138%, 0.00653%)",0.719
Nairobi,"1.99 (1.97, 2.02)","49.2 (1.98, 117.0)","38.4 (2.35, 81.4)","2.79 (2.19, 3.66)","70.9 (50.6, 94.1)","0.51 (0.368, 0.701)","0.000402 (0.000301, 0.000536)","0.818 (0.667, 0.932)","0.0188% (0.0163%, 0.0229%)",0.189
Nakuru,"1.8 (1.75, 1.86)","5.74 (0.189, 18.2)","5.7 (0.183, 16.9)","1.58 (0.781, 3.39)","33.7 (22.6, 47.3)","0.883 (0.517, 1.35)","7.88e-5 (3.79e-5, 0.00016)","0.612 (0.273, 0.972)","0.00478% (0.00262%, 0.00973%)",0.551
Nandi,"1.81 (1.72, 1.91)","0.484 (0.0109, 1.76)","0.464 (0.0128, 1.72)","1.2 (0.367, 3.04)","17.1 (8.26, 31.0)","0.617 (0.132, 1.41)","5.4e-5 (1.44e-5, 0.00014)","0.447 (0.144, 0.922)","0.00142% (0.000513%, 0.00357%)",0.822
Narok,"1.85 (1.77, 1.94)","0.507 (0.0151, 1.78)","0.5 (0.0163, 1.73)","1.38 (0.642, 3.01)","15.4 (8.35, 25.8)","1.54 (0.851, 2.48)","9.51e-5 (3.94e-5, 0.000202)","0.614 (0.267, 0.974)","0.00391% (0.0021%, 0.00813%)",0.65
Nyamira,"1.75 (1.65, 1.85)","0.587 (0.016, 2.05)","0.621 (0.021, 2.1)","1.88 (0.74, 4.13)","7.87 (3.17, 16.1)","0.826 (0.234, 1.72)","5.2e-5 (1.4e-5, 0.000132)","0.595 (0.241, 0.969)","0.000878% (0.000413%, 0.00194%)",0.655
Nyandarua,"1.86 (1.76, 1.98)","0.507 (0.0143, 1.83)","0.499 (0.0131, 1.84)","1.5 (0.429, 3.76)","21.9 (9.48, 41.8)","0.508 (0.106, 1.24)","1.24e-5 (1.01e-6, 4.53e-5)","0.39 (0.127, 0.878)","0.00261% (0.000855%, 0.00638%)",0.757
Nyeri,"1.87 (1.81, 1.95)","0.641 (0.0223, 2.23)","0.694 (0.0259, 2.28)","1.86 (0.779, 4.3)","13.5 (7.81, 22.0)","0.559 (0.127, 1.31)","1.9e-5 (5.72e-6, 4.7e-5)","0.571 (0.239, 0.951)","0.00492% (0.0025%, 0.0104%)",0.713
Samburu,"1.76 (1.66, 1.87)","0.486 (0.0109, 1.79)","0.487 (0.0102, 1.8)","1.35 (0.39, 3.43)","20.2 (7.88, 39.4)","0.505 (0.108, 1.2)","4.36e-5 (1.03e-6, 0.000174)","0.438 (0.138, 0.929)","0.00162% (0.000556%, 0.00412%)",0.656
Siaya,"1.81 (1.74, 1.89)","0.805 (0.0287, 2.66)","0.945 (0.0443, 2.81)","1.07 (0.373, 2.77)","17.9 (8.86, 31.1)","2.01 (1.13, 3.18)","6.67e-5 (2.39e-5, 0.000156)","0.524 (0.182, 0.954)","0.00172% (0.000718%, 0.00429%)",0.509
Taita Taveta,"1.84 (1.75, 1.93)","0.913 (0.0298, 2.82)","1.12 (0.0624, 2.95)","2.44 (0.972, 4.83)","25.1 (15.4, 37.9)","0.495 (0.1, 1.21)","0.0001 (2.72e-6, 0.00037)","0.207 (0.0941, 0.408)","0.00536% (0.00227%, 0.0104%)",0.775
Tana River,"1.75 (1.61, 1.93)","0.505 (0.0119, 1.82)","0.489 (0.014, 1.78)","1.58 (0.497, 3.77)","6.63 (1.92, 16.7)","0.5 (0.104, 1.2)","9.88e-5 (2.41e-6, 0.000361)","0.673 (0.287, 0.984)","0.00149% (0.000625%, 0.0035%)",0.634
Tharaka Nithi,"1.68 (1.58, 1.8)","0.511 (0.014, 1.84)","0.514 (0.0135, 1.92)","1.87 (0.712, 4.24)","11.4 (4.44, 22.6)","0.498 (0.103, 1.21)","4.69e-5 (1.12e-6, 0.00018)","0.654 (0.277, 0.98)","0.00429% (0.00209%, 0.00966%)",0.562
Trans Nzoia,"1.75 (1.67, 1.85)","0.554 (0.0164, 1.9)","0.559 (0.0179, 1.96)","1.65 (0.581, 3.83)","8.55 (4.48, 14.5)","0.559 (0.125, 1.31)","2.95e-5 (5.53e-6, 8.46e-5)","0.487 (0.185, 0.934)","0.00149% (0.000599%, 0.00341%)",0.774
Turkana,"1.73 (1.66, 1.81)","0.672 (0.0234, 2.2)","0.721 (0.0306, 2.29)","1.56 (0.761, 3.28)","21.3 (10.6, 37.1)","1.45 (0.661, 2.55)","0.00015 (6.17e-5, 0.000306)","0.661 (0.319, 0.979)","0.00215% (0.0012%, 0.0043%)",0.795
Uasin Gishu,"1.73 (1.68, 1.79)","6.23 (0.212, 19.3)","6.1 (0.245, 17.7)","1.28 (0.605, 2.72)","45.3 (29.4, 65.5)","0.894 (0.553, 1.32)","0.000159 (7.93e-5, 0.000306)","0.591 (0.271, 0.958)","0.00617% (0.00328%, 0.0124%)",0.488
Vihiga,"1.73 (1.65, 1.82)","4.75 (0.129, 17.4)","4.53 (0.101, 16.7)","1.28 (0.547, 2.9)","14.6 (5.95, 29.5)","0.582 (0.227, 1.07)","3.45e-5 (1.09e-5, 8.67e-5)","0.621 (0.249, 0.976)","0.00126% (0.000664%, 0.00279%)",0.804
Wajir,"1.81 (1.73, 1.89)","0.702 (0.0263, 2.3)","0.769 (0.0309, 2.38)","2.02 (0.799, 4.41)","16.2 (5.31, 35.6)","0.527 (0.11, 1.23)","0.000103 (4.08e-5, 0.000225)","0.553 (0.221, 0.952)","0.0013% (0.00062%, 0.00282%)",0.786
West Pokot,"1.89 (1.82, 1.98)","0.608 (0.0185, 2.09)","0.626 (0.0181, 2.09)","2.59 (1.54, 4.82)","9.73 (5.83, 15.3)","0.507 (0.102, 1.2)","2.84e-6 (7.11e-8, 1.13e-5)","0.732 (0.393, 0.986)","0.000423% (0.000288%, 0.00075%)",0.653